Symbol,Name,TotalScore,Growth,Profitability,Stability,Activity,Links
263860,지니언스,88.5,97.9,84.7,88.4,83.0,"<a href=""https://m.stock.naver.com/domestic/stock/263860/total"" target=""_blank"">Naver Mobile</a>"
251970,펌텍코리아,88.425,98.9,75.4,98.1,81.3,"<a href=""https://m.stock.naver.com/domestic/stock/251970/total"" target=""_blank"">Naver Mobile</a>"
014940,오리엔탈정공,88.325,97.5,80.5,85.8,89.5,"<a href=""https://m.stock.naver.com/domestic/stock/014940/total"" target=""_blank"">Naver Mobile</a>"
004800,효성,88.3,100.0,91.8,73.1,,"<a href=""https://m.stock.naver.com/domestic/stock/004800/total"" target=""_blank"">Naver Mobile</a>"
196170,알테오젠,88.275,100.0,98.6,67.6,86.9,"<a href=""https://m.stock.naver.com/domestic/stock/196170/total"" target=""_blank"">Naver Mobile</a>"
109070,주성코퍼레이션,88.19999999999999,100.0,66.0,95.2,91.6,"<a href=""https://m.stock.naver.com/domestic/stock/109070/total"" target=""_blank"">Naver Mobile</a>"
278470,에이피알,88.07499999999999,100.0,88.7,96.1,67.5,"<a href=""https://m.stock.naver.com/domestic/stock/278470/total"" target=""_blank"">Naver Mobile</a>"
003230,삼양식품,87.92500000000001,100.0,79.9,87.9,83.9,"<a href=""https://m.stock.naver.com/domestic/stock/003230/total"" target=""_blank"">Naver Mobile</a>"
339950,아이비김영,87.85,95.5,88.6,76.2,91.1,"<a href=""https://m.stock.naver.com/domestic/stock/339950/total"" target=""_blank"">Naver Mobile</a>"
069410,엔텔스,87.77499999999999,100.0,69.7,93.2,88.2,"<a href=""https://m.stock.naver.com/domestic/stock/069410/total"" target=""_blank"">Naver Mobile</a>"
052420,오성첨단소재,87.75,100.0,76.9,98.8,75.3,"<a href=""https://m.stock.naver.com/domestic/stock/052420/total"" target=""_blank"">Naver Mobile</a>"
045340,토탈소프트,87.64999999999999,100.0,99.3,87.1,64.2,"<a href=""https://m.stock.naver.com/domestic/stock/045340/total"" target=""_blank"">Naver Mobile</a>"
114810,한솔아이원스,87.55000000000001,100.0,78.8,97.5,73.9,"<a href=""https://m.stock.naver.com/domestic/stock/114810/total"" target=""_blank"">Naver Mobile</a>"
052600,한네트,87.525,93.7,78.7,98.1,79.6,"<a href=""https://m.stock.naver.com/domestic/stock/052600/total"" target=""_blank"">Naver Mobile</a>"
119850,지엔씨에너지,87.42500000000001,100.0,80.9,94.2,74.6,"<a href=""https://m.stock.naver.com/domestic/stock/119850/total"" target=""_blank"">Naver Mobile</a>"
206650,유바이오로직스,87.25,100.0,100.0,95.4,53.6,"<a href=""https://m.stock.naver.com/domestic/stock/206650/total"" target=""_blank"">Naver Mobile</a>"
303360,프로티아,87.2,100.0,83.5,98.6,66.7,"<a href=""https://m.stock.naver.com/domestic/stock/303360/total"" target=""_blank"">Naver Mobile</a>"
071280,로체시스템즈,87.14999999999999,100.0,78.2,85.2,85.2,"<a href=""https://m.stock.naver.com/domestic/stock/071280/total"" target=""_blank"">Naver Mobile</a>"
058970,엠로,87.125,100.0,69.6,95.1,83.8,"<a href=""https://m.stock.naver.com/domestic/stock/058970/total"" target=""_blank"">Naver Mobile</a>"
204620,글로벌텍스프리,87.075,100.0,82.7,90.4,75.2,"<a href=""https://m.stock.naver.com/domestic/stock/204620/total"" target=""_blank"">Naver Mobile</a>"
095340,ISC,87.0,98.7,87.2,93.7,68.4,"<a href=""https://m.stock.naver.com/domestic/stock/095340/total"" target=""_blank"">Naver Mobile</a>"
194480,데브시스터즈,86.875,100.0,78.5,82.5,86.5,"<a href=""https://m.stock.naver.com/domestic/stock/194480/total"" target=""_blank"">Naver Mobile</a>"
216050,인크로스,86.77499999999999,97.9,88.9,88.6,71.7,"<a href=""https://m.stock.naver.com/domestic/stock/216050/total"" target=""_blank"">Naver Mobile</a>"
