Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Activity,Links
215090,솔디펜스,,63.150000000000006,96.8,42.5,63.3,50.0,"<a href=""https://m.stock.naver.com/domestic/stock/215090/total"" target=""_blank"">Naver Mobile</a>"
448370,하나27호스팩,,63.150000000000006,,44.6,81.7,,"<a href=""https://m.stock.naver.com/domestic/stock/448370/total"" target=""_blank"">Naver Mobile</a>"
049830,승일,,63.125,50.0,46.7,86.2,69.6,"<a href=""https://m.stock.naver.com/domestic/stock/049830/total"" target=""_blank"">Naver Mobile</a>"
203690,아크솔루션스,,63.1,81.5,40.0,62.8,68.1,"<a href=""https://m.stock.naver.com/domestic/stock/203690/total"" target=""_blank"">Naver Mobile</a>"
225570,넥슨게임즈,,63.099999999999994,64.0,51.2,70.5,66.7,"<a href=""https://m.stock.naver.com/domestic/stock/225570/total"" target=""_blank"">Naver Mobile</a>"
001430,세아베스틸지주,,63.099999999999994,50.0,53.8,79.6,69.0,"<a href=""https://m.stock.naver.com/domestic/stock/001430/total"" target=""_blank"">Naver Mobile</a>"
086670,비엠티,,63.075,50.0,66.2,74.1,62.0,"<a href=""https://m.stock.naver.com/domestic/stock/086670/total"" target=""_blank"">Naver Mobile</a>"
100220,비상교육,,63.050000000000004,84.7,44.4,69.2,53.9,"<a href=""https://m.stock.naver.com/domestic/stock/100220/total"" target=""_blank"">Naver Mobile</a>"
322310,오로스테크놀로지,,63.025,100.0,40.0,61.2,50.9,"<a href=""https://m.stock.naver.com/domestic/stock/322310/total"" target=""_blank"">Naver Mobile</a>"
065420,에스아이리소스,,63.0,66.7,42.5,56.3,86.5,"<a href=""https://m.stock.naver.com/domestic/stock/065420/total"" target=""_blank"">Naver Mobile</a>"
069410,엔텔스,,63.0,50.0,42.5,71.8,87.7,"<a href=""https://m.stock.naver.com/domestic/stock/069410/total"" target=""_blank"">Naver Mobile</a>"
024120,KB오토시스,,62.974999999999994,61.1,43.5,68.3,79.0,"<a href=""https://m.stock.naver.com/domestic/stock/024120/total"" target=""_blank"">Naver Mobile</a>"
073560,우리손에프앤지,,62.95,50.0,46.3,72.3,83.2,"<a href=""https://m.stock.naver.com/domestic/stock/073560/total"" target=""_blank"">Naver Mobile</a>"
033160,엠케이전자,,62.925,63.5,45.6,69.0,73.6,"<a href=""https://m.stock.naver.com/domestic/stock/033160/total"" target=""_blank"">Naver Mobile</a>"
037070,파세코,,62.900000000000006,50.0,49.0,83.8,68.8,"<a href=""https://m.stock.naver.com/domestic/stock/037070/total"" target=""_blank"">Naver Mobile</a>"
058970,엠로,,62.9,56.0,51.4,64.6,79.6,"<a href=""https://m.stock.naver.com/domestic/stock/058970/total"" target=""_blank"">Naver Mobile</a>"
103840,우양,,62.875,63.6,44.5,61.4,82.0,"<a href=""https://m.stock.naver.com/domestic/stock/103840/total"" target=""_blank"">Naver Mobile</a>"
003580,HLB글로벌,,62.875,83.3,42.5,64.4,61.3,"<a href=""https://m.stock.naver.com/domestic/stock/003580/total"" target=""_blank"">Naver Mobile</a>"
317240,TS트릴리온,,62.85,83.3,43.3,67.9,56.9,"<a href=""https://m.stock.naver.com/domestic/stock/317240/total"" target=""_blank"">Naver Mobile</a>"
215100,로보로보,,62.8,72.9,51.2,80.6,46.5,"<a href=""https://m.stock.naver.com/domestic/stock/215100/total"" target=""_blank"">Naver Mobile</a>"
032790,엠젠솔루션,,62.8,50.0,42.5,75.2,83.5,"<a href=""https://m.stock.naver.com/domestic/stock/032790/total"" target=""_blank"">Naver Mobile</a>"
033530,SJG세종,,62.775,50.0,49.6,69.9,81.6,"<a href=""https://m.stock.naver.com/domestic/stock/033530/total"" target=""_blank"">Naver Mobile</a>"
127120,제이에스링크,,62.7,87.8,42.5,51.6,68.9,"<a href=""https://m.stock.naver.com/domestic/stock/127120/total"" target=""_blank"">Naver Mobile</a>"
048530,인트론바이오,,62.7,66.7,40.0,66.4,77.7,"<a href=""https://m.stock.naver.com/domestic/stock/048530/total"" target=""_blank"">Naver Mobile</a>"
323280,태성,,62.699999999999996,66.7,53.8,70.7,59.6,"<a href=""https://m.stock.naver.com/domestic/stock/323280/total"" target=""_blank"">Naver Mobile</a>"
310870,디와이씨,,62.699999999999996,50.0,64.8,74.1,61.9,"<a href=""https://m.stock.naver.com/domestic/stock/310870/total"" target=""_blank"">Naver Mobile</a>"
111110,호전실업,,62.675000000000004,50.0,60.7,69.9,70.1,"<a href=""https://m.stock.naver.com/domestic/stock/111110/total"" target=""_blank"">Naver Mobile</a>"
089980,상아프론테크,,62.675000000000004,66.7,55.5,77.9,50.6,"<a href=""https://m.stock.naver.com/domestic/stock/089980/total"" target=""_blank"">Naver Mobile</a>"
