Symbol,Name,Error,TotalScore,Growth,Profitability,Stability,Momentum,Price,MarketCap,EPS,PreviousEPS,LatestQuarterEPS,PreviousQuarterEPS,SameQuarterLastYearEPS,EPS_Growth,PreviousQuarterEPSGrowth,SameQuarterLastYearEPSGrowth,LatestBPS,PER,PBR,ROE,PEG,Raw_Adjusted_Growth,Adjusted_EPS_Growth,Raw_PEG,Adjusted_PEG,EPS_Base_Flag,Links
003010,혜인,,62.516666666666666,61.416666666666664,49.43333333333334,70.325,68.89166666666667,6230.0,792.0,1128.0,464.0,33.0,587.0,25.0,143.10344827586206,-94.37819420783646,32.0,10077.0,5.523049645390071,0.618239555423241,11.193807680857399,0.03859480475091857,143.10344827586206,143.10344827586206,0.03859480475091857,0.03859480475091857,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/003010/total"" target=""_blank"">Naver Mobile</a>"
009180,한솔로지스틱스,,62.47916666666666,35.166666666666664,48.708333333333336,78.39166666666667,87.64999999999999,3120.0,878.0,538.0,256.0,129.0,22.0,153.0,110.15625,486.3636363636363,-15.686274509803921,5169.0,5.799256505576208,0.6035983749274522,10.40820274714645,0.05264573281657835,110.15625,110.15625,0.05264573281657835,0.05264573281657835,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/009180/total"" target=""_blank"">Naver Mobile</a>"
004690,삼천리,,62.41041666666666,45.40833333333333,43.291666666666664,71.61666666666666,89.325,136500.0,4951.0,34307.0,30228.0,25985.0,-29.0,22423.0,13.494111419875612,89703.44827586207,15.885474735762386,546274.0,3.9787798408488064,0.24987460505167736,6.280181740298825,0.2948530449354688,13.494111419875612,13.494111419875612,0.2948530449354688,0.2948530449354688,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/004690/total"" target=""_blank"">Naver Mobile</a>"
006390,한일현대시멘트,,62.40833333333333,54.1,54.88333333333333,76.96666666666667,63.68333333333334,,,,,,,,,,,,,,,,,,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/006390/total"" target=""_blank"">Naver Mobile</a>"
003850,보령,,62.40624999999999,53.074999999999996,56.05833333333334,81.51666666666667,58.975,9700.0,8321.0,1228.0,543.0,483.0,246.0,4.0,126.15101289134438,96.34146341463415,11975.0,10185.0,7.899022801302932,0.9523809523809523,12.05694648993618,0.06261561140302908,126.15101289134438,126.15101289134438,0.06261561140302908,0.06261561140302908,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/003850/total"" target=""_blank"">Naver Mobile</a>"
192820,코스맥스,,62.360416666666666,62.31666666666666,53.99166666666667,58.69166666666666,74.44166666666666,185700.0,21076.0,13790.0,6580.0,3663.0,7494.0,716.0,109.57446808510637,-51.120896717373896,411.5921787709497,56900.0,13.46627991298042,3.263620386643234,24.235500878734623,0.12289614677865628,109.57446808510637,109.57446808510637,0.12289614677865628,0.12289614677865628,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/192820/total"" target=""_blank"">Naver Mobile</a>"
005810,풍산홀딩스,,62.32083333333333,47.71666666666667,64.35833333333333,87.84166666666665,49.36666666666667,41900.0,6041.0,6334.0,7083.0,2311.0,1137.0,1141.0,-10.574615276012988,103.25417766051011,102.54163014899211,82617.0,6.615093148089675,0.5071595434353704,7.666702978805814,,-10.574615276012988,-10.574615276012988,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/005810/total"" target=""_blank"">Naver Mobile</a>"
015890,태경산업,,62.31041666666667,46.01666666666667,47.300000000000004,84.77499999999999,71.14999999999999,4870.0,1423.0,696.0,768.0,223.0,119.0,100.0,-9.375,87.39495798319328,123.0,20407.0,6.997126436781609,0.23864360268535306,3.410594403881021,,-9.375,-9.375,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/015890/total"" target=""_blank"">Naver Mobile</a>"
009450,경동나비엔,,62.306250000000006,56.791666666666664,58.958333333333336,75.48333333333333,57.99166666666667,70600.0,1285.0,7549.0,8968.0,3981.0,1283.0,2588.0,-15.82292595896521,210.2883865939205,53.825347758887176,56497.0,9.352232083719699,1.2496238738340089,13.361771421491406,,-15.82292595896521,-15.82292595896521,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/009450/total"" target=""_blank"">Naver Mobile</a>"
136490,선진,,62.29166666666667,53.85833333333333,54.541666666666664,61.00833333333333,79.75833333333334,11550.0,2747.0,4742.0,3533.0,1573.0,596.0,1833.0,34.22020945372205,163.9261744966443,-14.184397163120568,26231.0,2.435681147195276,0.4403187068735466,18.077846822461975,0.07117668728735245,34.22020945372205,34.22020945372205,0.07117668728735245,0.07117668728735245,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/136490/total"" target=""_blank"">Naver Mobile</a>"
123700,SJM,,62.19583333333333,51.14166666666667,56.775,92.925,47.94166666666666,3715.0,580.0,889.0,1288.0,421.0,8.0,309.0,-30.978260869565215,5162.5,36.24595469255664,15867.0,4.178852643419573,0.23413373668620407,5.602823470095166,,-30.978260869565215,-30.978260869565215,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/123700/total"" target=""_blank"">Naver Mobile</a>"
161890,한국콜마,,62.175,64.05,47.55833333333334,67.41666666666667,69.675,97100.0,22921.0,6651.0,4108.0,1914.0,1910.0,561.0,61.90360272638754,0.20942408376963353,241.17647058823528,71958.0,14.599308374680499,1.3493982600961671,9.24289168681731,0.2358393975744691,61.90360272638754,61.90360272638754,0.2358393975744691,0.2358393975744691,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/161890/total"" target=""_blank"">Naver Mobile</a>"
004770,써니전자,,62.162499999999994,40.958333333333336,71.425,85.58333333333333,50.68333333333334,1680.0,597.0,97.0,123.0,33.0,16.0,37.0,-21.138211382113823,106.25,-10.81081081081081,2386.0,17.31958762886598,0.7041072925398156,4.065381391450126,,-21.138211382113823,-21.138211382113823,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/004770/total"" target=""_blank"">Naver Mobile</a>"
004360,세방,,62.125,41.358333333333334,47.041666666666664,78.35833333333333,81.74166666666666,14650.0,2800.0,2985.0,3911.0,1014.0,455.0,1463.0,-23.676809000255687,122.85714285714286,-30.69036226930964,64200.0,4.90787269681742,0.22819314641744548,4.649532710280374,,-23.676809000255687,-23.676809000255687,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/004360/total"" target=""_blank"">Naver Mobile</a>"
010140,삼성중공업,,62.12083333333332,74.08333333333333,45.65,52.35,76.39999999999999,29300.0,257840.0,630.0,166.0,115.0,111.0,105.0,279.51807228915663,3.6036036036036037,9.523809523809524,5063.0,46.507936507936506,5.787082757258542,12.44321548489038,0.16638615216201422,279.51807228915663,279.51807228915663,0.16638615216201422,0.16638615216201422,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/010140/total"" target=""_blank"">Naver Mobile</a>"
003480,한진중공업홀딩스,,62.1125,56.4,55.125,47.35833333333333,89.56666666666666,6000.0,1772.0,2234.0,2164.0,1128.0,939.0,894.0,3.234750462107209,20.12779552715655,26.174496644295303,17353.0,2.6857654431512983,0.3457615397913905,12.873854664899442,0.8302852027113442,3.234750462107209,3.234750462107209,0.8302852027113442,0.8302852027113442,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/003480/total"" target=""_blank"">Naver Mobile</a>"
300720,한일시멘트,,62.10208333333334,46.125,57.583333333333336,80.44166666666666,64.25833333333334,16320.0,12003.0,1005.0,1907.0,128.0,129.0,132.0,-47.29942317776612,-0.7751937984496124,-3.0303030303030303,24593.0,16.238805970149254,0.6636034644004392,4.086528687024763,,-47.29942317776612,-47.29942317776612,,,Report EPS/BPS,"<a href=""https://m.stock.naver.com/domestic/stock/300720/total"" target=""_blank"">Naver Mobile</a>"
